"fecha_UTC","hora_UTC","latitud(º)","longitud(º)","profundidad_km","magnitud_mb","magnitud_Ms","magnitud_Mw"
"02/07/1552","10:30:00.00","-16.6","-71.3","30","7.6","",""
"15/11/1555","00:00:00.00","-11.9","-77.6","30","","8.4",""
"04/04/1568","00:00:00.00","-12.3","-77.7","30","6.6","6.4",""
"22/01/1582","16:30:00.00","-16.6","-71.6","30","","8.2","7.5"
"15/08/1582","00:00:00.00","-12.2","-77.6","30","","7.8",""
"17/03/1584","00:00:00.00","-11.8","-77.8","30","","8.4",""
"10/07/1586","00:30:00.00","-12.109","-77.028","40","7.7","8.6",""
"19/02/1600","10:00:00.00","-16.77","-70.9","20","","7.9",""
"28/02/1600","20:00:00.00","-16.6","-70.8","20","","8.1",""
"24/11/1604","18:30:00.00","-17.88","-70.94","30","7","9.4",""
"23/03/1606","20:00:00.00","-7","-80.3","40","","6.5",""
"25/10/1606","13:00:00.00","-11.8","-77.8","60","6.8","",""
"20/10/1609","01:00:00.00","-11.9","-77.4","40","7.4","8.6",""
"16/09/1615","00:00:00.00","-18.25","-71","40","","8.8",""
"14/02/1619","16:30:00.00","-7.941","-79.038","40","7.7","8.6","8.7"
"27/11/1630","15:30:00.00","-12.2","-77.5","30","7.5","",""
"31/03/1650","16:10:00.00","-13.6","-72.2","70","7.4","",""
"31/03/1650","19:00:00.00","-13.5","-71.7","30","","7.2",""
"13/11/1655","19:45:00.00","-12.3","-77.6","30","7.7","8.8",""
"14/02/1658","00:00:00.00","-8.2","-80.1","40","7.7","-",""
"12/05/1664","09:15:00.00","-14.1","-75.85","15","","7.3",""
"16/06/1678","01:45:00.00","-12.3","-77.8","40","","","7.7"
"20/10/1687","09:15:00.00","-12.55","-77","40","6.4","5.9","-"
"20/10/1687","10:30:00.00","-13.231","-76.507","30","","8.2","8.6"
"21/10/1687","12:00:00.00","-16.4","-71.6","60","","7.2","8"
"20/11/1690","19:30:00.00","-12.55","-77","40","","7.2",""
"14/07/1696","09:00:00.00","-12.8","-77.7","20","6.7","",""
"29/09/1697","13:30:00.00","-12.3","-77.4","30","7.3","",""
"14/07/1699","09:00:00.00","-11.8","-77.5","40","7.7","7.8",""
"02/08/1700","21:00:00.00","-13.9","-72.1","10","4.1","",""
"18/09/1707","05:00:00.00","-13.9","-72.1","10","4.4","",""
"23/05/1709","07:00:00.00","-12.6","-77.5","60","4.6","",""
"20/12/1709","10:00:00.00","-12.3","-77.3","60","6.3","",""
"17/06/1719","00:00:00.00","-13.2","-74.4","20","4.6","",""
"02/12/1732","06:00:00.00","-11.8","-77.6","50","","6.9",""
"25/08/1741","00:00:00.00","-3.1","-78.1","","","6.8",""
"19/11/1744","11:30:00.00","-13.77","-72.1","20","","4.8",""
"11/02/1746","00:00:00.00","-14","-71.7","20","4.9","",""
"29/10/1746","03:30:00.00","-11.996","-77.198","30","","8.4","8.8"
"14/03/1747","18:30:00.00","-8.58","-78.1","20","4.9","",""
