provincia,region,mes,año,latitud(º),longitud(º),profundidad_km,magnitud_Mw
Huaral,Lima,1,1940,-11.5,-77.0,50.0,5.82
Cañete,Lima,7,1945,-13.0,-76.2,80.0,4.97
Cañete,Lima,8,1945,-13.0,-76.2,80.0,4.97
Cañete,Lima,9,1945,-13.0,-76.2,80.0,4.52
Cañete,Lima,9,1945,-13.0,-76.2,80.0,4.97
Cañete,Lima,11,1945,-13.0,-76.2,80.0,4.52
Cañete,Lima,2,1946,-13.0,-76.2,80.0,4.97
Cañete,Lima,10,1946,-12.4,-76.4,90.0,4.97
Cañete,Lima,11,1946,-12.87,-76.406,90.0,5.79
Huarochirí,Lima,12,1946,-12.395,-76.451,90.0,5.25
Huarochirí,Lima,8,1947,-12.0,-76.7,80.0,4.52
Huarochirí,Lima,11,1947,-11.9,-76.9,80.0,4.97
Cañete,Lima,12,1947,-13.0,-76.2,90.0,4.61
Cañete,Lima,8,1948,-12.6,-76.5,80.0,4.7
Cañete,Lima,8,1948,-12.6,-76.5,80.0,4.7
Cañete,Lima,9,1948,-13.0,-76.2,90.0,4.61
Cañete,Lima,10,1948,-13.0,-76.2,90.0,4.61
Cañete,Lima,11,1948,-13.0,-76.2,80.0,4.52
Cañete,Lima,4,1949,-13.0,-76.2,90.0,5.06
Lima,Lima,5,1949,-12.0,-76.85,90.0,4.88
Cañete,Lima,10,1949,-13.0,-76.2,90.0,5.06
Cañete,Lima,1,1950,-13.0,-76.2,90.0,5.06
Lima,Lima,6,1950,-11.7,-77.0,90.0,5.16
Huarochirí,Lima,4,1952,-12.0,-76.7,90.0,5.25
Lima,Lima,5,1953,-12.0,-76.8,90.0,4.88
Canta,Lima,6,1953,-11.55,-76.8,70.0,4.79
Lima,Lima,12,1953,-12.0,-76.9,90.0,4.61
Lima,Lima,1,1954,-12.0,-76.9,90.0,4.61
Lima,Lima,1,1954,-12.0,-76.9,90.0,4.61
Lima,Lima,5,1954,-12.0,-76.8,90.0,5.25
Lima,Lima,3,1955,-12.1,-76.8,90.0,5.06
Huarochirí,Lima,6,1955,-11.73,-76.66,30.0,4.16
Lima,Lima,7,1955,-12.1,-76.8,90.0,4.88
Huarochirí,Lima,9,1955,-12.0,-76.5,30.0,4.34
Huaral,Lima,10,1955,-11.295,-76.608,30.0,4.34
Huarochirí,Lima,11,1955,-12.1,-76.7,90.0,4.79
