mes,año,latitud(º),longitud(º),profundidad_km,cluster_Kmeans,cluster_Kmedoids
12,1992,-13.12,-76.38,16.0,0,5
2,1984,-12.42,-76.94,53.0,2,0
10,2015,-10.61,-76.8352,127.0,1,1
1,1995,-12.95,-76.15,12.0,0,5
2,2003,-11.1248,-77.2045,126.0,1,1
9,1990,-11.71,-77.03,47.0,2,0
11,1986,-12.67,-76.56,46.0,2,0
5,2018,-12.1646,-76.3655,84.0,1,3
2,1994,-11.01,-76.6,20.0,0,5
4,1952,-12.0,-76.7,90.0,3,2
11,2016,-12.515,-75.7978,117.0,1,1
2,1996,-12.2177,-76.899,35.0,0,5
1,1994,-11.21,-77.55,54.0,2,0
11,1945,-13.0,-76.2,80.0,3,2
7,1987,-11.41,-77.02,91.0,1,4
1,1972,-13.176,-76.177,91.0,3,2
2,1992,-12.6,-76.64,25.0,0,5
8,1998,-12.4792,-75.5858,114.0,1,1
10,1948,-13.0,-76.2,90.0,3,2
9,2019,-12.5579,-76.3287,96.0,1,3
4,2010,-10.9498,-77.2437,42.0,0,0
9,1945,-13.0,-76.2,80.0,3,2
9,1994,-12.61,-76.06,80.0,2,4
5,1993,-12.65,-75.68,53.0,2,0
7,1976,-11.923,-76.788,123.0,1,1
4,1987,-12.42,-76.26,103.0,1,1
8,2003,-11.6104,-76.9734,100.0,1,1
5,1996,-11.075,-77.3277,65.0,2,4
5,1954,-12.0,-76.8,90.0,3,2
6,1993,-11.1,-76.9,48.0,2,0
5,2015,-11.3435,-76.84,105.0,1,3
12,1953,-12.0,-76.9,90.0,3,2
10,1946,-12.4,-76.4,90.0,3,2
1,1991,-12.11,-76.32,113.0,1,1
5,2018,-12.5162,-76.3755,94.0,1,3
3,1987,-13.06,-76.11,98.0,1,1
10,1966,-10.978,-77.415,26.0,0,5
5,1990,-11.6,-77.35,19.0,0,5
4,2020,-12.5229,-76.763,49.0,2,0
10,1987,-12.05,-76.38,100.0,1,1
6,1987,-12.83,-76.14,72.0,2,4
2,1996,-12.309,-76.7222,84.0,2,4
9,1990,-12.63,-76.27,92.0,1,4
5,2010,-12.1944,-76.1268,108.0,1,1
5,1993,-12.42,-75.57,99.0,1,1
12,1989,-11.57,-77.21,105.0,1,1
12,1991,-11.28,-77.18,62.0,2,0
3,2011,-11.1309,-77.093,79.0,2,4
3,2012,-12.8786,-76.1802,77.0,2,4
12,1997,-11.8986,-76.581,117.0,1,1
7,1994,-11.19,-77.45,33.0,0,5
8,1994,-12.5,-75.68,75.0,2,4
9,2017,-11.9026,-76.3283,13.0,0,5
12,1989,-12.45,-76.02,109.0,1,1
2,2011,-11.6914,-76.5306,114.0,1,1
2,1984,-12.6,-76.45,68.0,2,4
7,2017,-11.4766,-76.5469,110.0,1,3
8,1990,-12.81,-75.97,73.0,2,4
5,1991,-12.53,-76.61,46.0,2,0
8,1994,-11.19,-76.63,43.0,0,0
1,2012,-11.2408,-76.7174,22.0,0,5
11,2017,-12.1577,-76.2506,110.0,1,3
11,1991,-12.04,-76.6,93.0,1,4
5,1986,-12.56,-76.57,29.0,0,5
4,1987,-12.47,-76.81,41.0,0,0
8,2022,-11.98,-76.03,112.0,1,3
12,1989,-12.58,-76.4,55.0,2,0
11,1986,-11.96,-77.08,53.0,2,0
3,1990,-12.83,-75.61,41.0,0,0
8,1996,-11.4255,-76.8104,72.0,2,4
5,2013,-10.4301,-76.8039,106.0,1,3
4,1995,-11.75,-77.01,86.0,1,4
4,2010,-12.7862,-76.1264,94.0,1,3
5,1986,-12.4,-76.97,30.0,0,5
2,1987,-12.31,-75.75,105.0,1,1
7,1990,-12.11,-76.96,34.0,0,5
6,1990,-12.24,-76.77,51.0,2,0
5,1992,-12.61,-75.95,23.0,0,5
3,1998,-11.5095,-77.2586,55.0,2,0
12,1985,-12.58,-76.62,68.0,2,4
10,2016,-11.9345,-76.3908,106.0,1,3
7,1994,-10.61,-76.76,36.0,0,5
5,2020,-10.6209,-76.76,119.0,1,1
10,1987,-11.52,-77.3,50.0,2,0
7,2012,-11.8838,-76.3592,24.0,0,5
10,2017,-11.9106,-76.3457,22.0,0,5
10,1995,-10.78,-77.48,37.0,0,5
3,2010,-10.7732,-77.2125,73.0,2,4
3,2014,-11.8865,-76.128,83.0,1,3
1,2012,-10.819,-76.9648,134.0,1,1
6,2019,-11.8084,-76.9356,93.0,1,3
6,1995,-11.88,-76.11,62.0,2,0
8,2017,-12.6527,-76.1477,106.0,1,3
6,2012,-11.7067,-76.9645,96.0,1,3
1,1997,-12.639,-75.6158,133.0,1,1
10,1994,-12.81,-75.7,87.0,1,4
11,2010,-10.9357,-77.3764,46.0,2,0
9,1963,-11.3,-77.6,33.0,0,5
11,1989,-12.22,-77.02,55.0,2,0
11,1994,-11.45,-76.61,11.0,0,5
11,2014,-10.9431,-76.701,103.0,1,3
1,1976,-11.701,-76.675,113.0,1,1
5,1987,-11.11,-76.85,98.0,1,1
6,1996,-12.2253,-76.6318,91.0,1,4
12,1995,-12.16,-76.1,48.0,2,0
5,1995,-11.94,-76.5,105.0,1,1
4,2016,-12.4918,-76.5419,99.0,1,3
2,1990,-11.73,-77.15,69.0,2,4
7,1995,-12.53,-75.59,30.0,0,5
5,2013,-12.6859,-76.1543,98.0,1,3
11,1966,-11.956,-76.195,90.0,3,2
5,2003,-12.4373,-76.9446,47.0,2,0
4,1992,-13.03,-76.36,37.0,0,5
1,1996,-12.9447,-76.0503,50.0,2,0
12,1989,-12.22,-76.92,10.0,0,5
4,2013,-12.3289,-76.0316,106.0,1,3
1,1990,-10.39,-77.09,42.0,0,0
9,2017,-11.9032,-76.3349,11.0,0,5
3,1998,-11.7068,-76.3955,120.0,1,1
6,1988,-12.43,-76.69,15.0,0,5
3,2011,-11.634,-76.4459,94.0,1,3
11,1986,-11.13,-76.8,10.0,0,5
12,1989,-12.05,-76.72,58.0,2,0
5,1994,-11.56,-76.65,53.0,2,0
2,1997,-12.4529,-76.8058,70.0,2,4
12,1986,-11.61,-77.16,12.0,0,5
6,2013,-12.8088,-76.5587,74.0,2,4
8,2009,-12.2412,-76.8777,93.0,1,3
6,1988,-11.71,-76.84,100.0,1,1
1,1991,-12.65,-76.38,49.0,2,0
12,1992,-11.42,-77.3,35.0,0,5
8,1994,-11.44,-76.47,46.0,2,0
2,2011,-12.9842,-75.7665,113.0,1,1
1,2002,-11.9897,-76.3709,108.0,1,1
10,2009,-12.5363,-76.4185,97.0,1,3
8,2000,-11.5967,-76.7382,24.0,0,5
9,2013,-12.1266,-75.676,38.0,0,5
2,1998,-12.4414,-76.6249,24.0,0,5
7,1988,-12.65,-76.54,83.0,2,4
1,2001,-12.9912,-76.0242,90.0,1,4
11,1993,-11.58,-77.22,42.0,0,0
10,2015,-11.0216,-76.8078,125.0,1,1
10,1993,-12.36,-76.64,79.0,2,4
9,1988,-10.76,-76.83,94.0,1,4
10,2015,-10.5272,-76.9624,120.0,1,1
5,1998,-10.9735,-77.3675,53.0,2,0
10,2004,-12.3242,-76.7619,69.0,2,4
1,2012,-13.0257,-76.1293,107.0,1,1
5,2018,-12.9981,-76.1525,95.0,1,3
4,2010,-10.704,-77.6586,35.0,0,5
4,2020,-11.879,-76.8228,79.0,2,3
8,1997,-13.1828,-76.3497,58.0,2,0
2,2011,-12.2464,-76.5208,104.0,1,3
7,2006,-12.5233,-75.8933,99.0,1,3
5,1987,-10.7,-77.37,73.0,2,4
10,1990,-11.38,-76.66,44.0,0,0
7,2002,-12.5121,-76.7208,54.0,2,0
3,2018,-12.1858,-75.9702,119.0,1,1
3,2005,-11.8342,-76.1354,120.0,1,1
8,1999,-11.7328,-76.742,98.0,1,1
2,1990,-10.79,-77.33,41.0,0,0
8,2010,-12.4643,-76.8026,59.0,2,0
2,1994,-11.6,-76.96,67.0,2,4
9,2017,-11.8844,-76.3204,12.0,0,5
3,2003,-12.5033,-75.5675,116.0,1,1
7,1990,-12.2,-76.9,13.0,0,5
5,2000,-11.2972,-76.5757,16.0,0,5
7,1989,-13.01,-75.99,92.0,1,4
3,1992,-11.08,-76.67,54.0,2,0
3,1995,-11.58,-76.47,49.0,2,0
2,1994,-10.45,-77.69,18.0,0,5
6,1987,-12.19,-75.95,105.0,1,1
2,1988,-12.15,-76.97,35.0,0,5
3,2009,-10.3887,-77.6791,106.0,1,1
11,1993,-12.99,-76.08,61.0,2,0
6,2014,-11.2659,-77.2219,49.0,2,0
11,2005,-11.2112,-77.3999,91.0,1,3
8,1988,-12.32,-76.41,76.0,2,4
11,2021,-13.0722,-76.4521,88.0,1,3
8,1996,-12.3741,-76.7995,87.0,1,4
2,2017,-11.1776,-76.7484,129.0,1,1
1,2015,-12.1704,-76.0863,127.0,1,1
3,1987,-12.49,-76.49,58.0,2,0
4,2011,-11.8317,-76.4044,110.0,1,1
7,2004,-13.1786,-76.1329,64.0,2,4
3,1989,-12.65,-75.71,66.0,2,4
1,2011,-12.4048,-76.7681,50.0,2,0
4,1969,-11.4,-76.6,33.0,0,5
7,2019,-12.6231,-76.3028,98.0,1,3
1,1984,-10.9,-76.73,28.0,0,5
7,1996,-12.6836,-75.919,83.0,2,4
7,1986,-10.98,-76.79,117.0,1,1
6,1994,-12.82,-76.05,24.0,0,5
3,1991,-10.93,-76.92,104.0,1,1
6,2012,-11.5679,-76.4444,115.0,1,1
6,1990,-12.37,-76.52,39.0,0,0
12,1947,-13.0,-76.2,90.0,3,2
11,1955,-12.1,-76.7,90.0,3,2
1,1954,-12.0,-76.9,90.0,3,2
8,1990,-12.28,-76.49,19.0,0,5
12,1989,-12.65,-75.97,22.0,0,5
2,2014,-11.1892,-77.1088,72.0,2,4
1,2014,-11.3257,-76.5491,131.0,1,1
10,1993,-11.0,-77.33,12.0,0,5
11,1986,-12.87,-76.36,6.0,0,5
10,1974,-12.486,-76.741,54.0,2,0
5,1994,-11.36,-76.81,94.0,1,4
8,2011,-11.7209,-76.6964,101.0,1,3
7,2004,-12.4487,-76.6621,58.0,2,0
3,2012,-11.9059,-76.2482,108.0,1,1
10,1990,-11.41,-76.62,32.0,0,5
2,1968,-12.714,-76.592,67.0,3,0
5,2017,-10.9284,-76.6014,118.0,1,1
7,2012,-11.5232,-77.0408,97.0,1,3
2,1993,-13.17,-76.37,84.0,2,4
7,1996,-12.5852,-76.7102,50.0,2,0
10,2005,-12.3024,-76.7652,52.0,2,0
12,1994,-10.89,-76.91,91.0,1,4
3,2015,-11.9449,-76.7717,93.0,1,3
