provincia,region
Coronel Portillo, Ucayali
MAR, MAR
MAR, MAR
MAR, MAR
Condesuyos, Arequipa
Chumbivilcas, Cusco
Páucar del Sara Sara, Ayacucho
Camaná, Arequipa
Condesuyos, Arequipa
MAR, MAR
Tacna, Tacna
Tacna, Tacna
Huancayo, Junín
Azángaro, Puno
Sucre, Ayacucho
Condorcanqui, Amazonas
MAR, MAR
Castrovirreyna, Huancavelica
Paruro, Cusco
MAR, MAR
Tacna, Tacna
MAR, MAR
Grau, Apurímac
MAR, MAR
Melgar, Puno
Ica, Ica
MAR, MAR
Tarata, Tacna
Caravelí, Arequipa
MAR, MAR
La Unión, Arequipa
MAR, MAR
El Collao, Puno
MAR, MAR
Virú, La Libertad
MAR, MAR
Concepción, Junín
Antonio Raymondi, Ancash
MAR, MAR
La Unión, Arequipa
Parinacochas, Ayacucho
MAR, MAR
MAR, MAR
Bagua, Amazonas
Camaná, Arequipa
Tacna, Tacna
MAR, MAR
MAR, MAR
Coronel Portillo, Ucayali
Sucre, Ayacucho
MAR, MAR
MAR, MAR
Bagua, Amazonas
MAR, MAR
Moho, Puno
MAR, MAR
MAR, MAR
Ucayali, Loreto
Huaylas, Ancash
Condorcanqui, Amazonas
Caylloma, Arequipa
La Convención, Cusco
MAR, MAR
Caylloma, Arequipa
Contralmirante Villar, Tumbes
MAR, MAR
MAR, MAR
Chumbivilcas, Cusco
Tarata, Tacna
MAR, MAR
MAR, MAR
Parinacochas, Ayacucho
Huaura, Lima
Puerto Inca, Huánuco
MAR, MAR
Espinar, Cusco
MAR, MAR
Datem del Marañón, Loreto
Tayacaja, Huancavelica
Condorcanqui, Amazonas
Caravelí, Arequipa
Condorcanqui, Amazonas
MAR, MAR
La Mar, Ayacucho
Condorcanqui, Amazonas
El Collao, Puno
Condorcanqui, Amazonas
Castilla, Arequipa
Datem del Marañón, Loreto
MAR, MAR
MAR, MAR
Arequipa, Arequipa
Parinacochas, Ayacucho
MAR, MAR
MAR, MAR
MAR, MAR
MAR, MAR
Ucayali, Loreto
MAR, MAR
MAR, MAR
Sullana, Piura
MAR, MAR
La Convención, Cusco
MAR, MAR
Alto Amazonas, Loreto
Coronel Portillo, Ucayali
Tacna, Tacna
Huancayo, Junín
Datem del Marañón, Loreto
Espinar, Cusco
Datem del Marañón, Loreto
Sullana, Piura
Contralmirante Villar, Tumbes
Ucayali, Loreto
Ucayali, Loreto
Pallasca, Ancash
Mariscal Nieto, Moquegua
Coronel Portillo, Ucayali
Pisco, Ica
MAR, MAR
Contumazá, Cajamarca
MAR, MAR
Condorcanqui, Amazonas
MAR, MAR
MAR, MAR
Tacna, Tacna
Ucayali, Loreto
Condesuyos, Arequipa
Datem del Marañón, Loreto
Ica, Ica
Huancabamba, Piura
Datem del Marañón, Loreto
MAR, MAR
MAR, MAR
Caravelí, Arequipa
MAR, MAR
Ica, Ica
Huaytará, Huancavelica
San Román, Puno
Candarave, Tacna
Condorcanqui, Amazonas
Arequipa, Arequipa
Ica, Ica
MAR, MAR
MAR, MAR
Lampa, Puno
Satipo, Junín
Cangallo, Ayacucho
MAR, MAR
Bagua, Amazonas
Castilla, Arequipa
MAR, MAR
Condorcanqui, Amazonas
MAR, MAR
Páucar del Sara Sara, Ayacucho
Condorcanqui, Amazonas
Satipo, Junín
Oxapampa, Pasco
Arequipa, Arequipa
MAR, MAR
El Collao, Puno
Bagua, Amazonas
General Sánchez Cerro, Moquegua
MAR, MAR
Coronel Portillo, Ucayali
Ucayali, Loreto
MAR, MAR
Condesuyos, Arequipa
MAR, MAR
Coronel Portillo, Ucayali
Coronel Portillo, Ucayali
Chucuito, Puno
MAR, MAR
Chanchamayo, Junín
Castrovirreyna, Huancavelica
MAR, MAR
MAR, MAR
Anta, Cusco
Anta, Cusco
Huaytará, Huancavelica
MAR, MAR
Oxapampa, Pasco
Castrovirreyna, Huancavelica
Datem del Marañón, Loreto
MAR, MAR
Lampa, Puno
San Martín, San Martín
Mariscal Cáceres, San Martín
Camaná, Arequipa
Caylloma, Arequipa
MAR, MAR
Datem del Marañón, Loreto
Lampa, Puno
MAR, MAR
MAR, MAR
MAR, MAR
Coronel Portillo, Ucayali
Coronel Portillo, Ucayali
Ica, Ica
MAR, MAR
Rioja, San Martín
Ucayali, Loreto
MAR, MAR
Abancay, Apurímac
MAR, MAR
Bongará, Amazonas
MAR, MAR
Condesuyos, Arequipa
Coronel Portillo, Ucayali
MAR, MAR
MAR, MAR
Alto Amazonas, Loreto
Cutervo, Cajamarca
Pisco, Ica
Pisco, Ica
MAR, MAR
Ica, Ica
Quispicanchi, Cusco
Datem del Marañón, Loreto
Jorge Basadre, Tacna
MAR, MAR
MAR, MAR
Contralmirante Villar, Tumbes
Oxapampa, Pasco
MAR, MAR
MAR, MAR
Quispicanchi, Cusco
Condorcanqui, Amazonas
Sullana, Piura
Condorcanqui, Amazonas
MAR, MAR
Lampa, Puno
Coronel Portillo, Ucayali
MAR, MAR
MAR, MAR
Mariscal Cáceres, San Martín
Mariscal Cáceres, San Martín
MAR, MAR
MAR, MAR
Castrovirreyna, Huancavelica
Datem del Marañón, Loreto
MAR, MAR
MAR, MAR
MAR, MAR
Condorcanqui, Amazonas
Caravelí, Arequipa
Lampa, Puno
Sullana, Piura
Arequipa, Arequipa
MAR, MAR
Coronel Portillo, Ucayali
Castrovirreyna, Huancavelica
Tacna, Tacna
Leoncio Prado, Huánuco
Satipo, Junín
Jauja, Junín
La Convención, Cusco
Pachitea, Huánuco
Mariscal Nieto, Moquegua
MAR, MAR
Jorge Basadre, Tacna
Ucayali, Loreto
MAR, MAR
Tambopata, Madre de Dios
Chanchamayo, Junín
Puerto Inca, Huánuco
Ucayali, Loreto
Ucayali, Loreto
Datem del Marañón, Loreto
Caravelí, Arequipa
Coronel Portillo, Ucayali
MAR, MAR
MAR, MAR
Satipo, Junín
Tacna, Tacna
Puerto Inca, Huánuco
Datem del Marañón, Loreto
MAR, MAR
MAR, MAR
Coronel Portillo, Ucayali
El Collao, Puno
Condorcanqui, Amazonas
Ayabaca, Piura
Condorcanqui, Amazonas
Caravelí, Arequipa
MAR, MAR
MAR, MAR
MAR, MAR
Parinacochas, Ayacucho
Datem del Marañón, Loreto
Coronel Portillo, Ucayali
Lampa, Puno
Junín, Junín
MAR, MAR
Coronel Portillo, Ucayali
Yauli, Junín
MAR, MAR
MAR, MAR
MAR, MAR
Oxapampa, Pasco
MAR, MAR
Lucanas, Ayacucho
MAR, MAR
MAR, MAR
Castrovirreyna, Huancavelica
Puerto Inca, Huánuco
Condesuyos, Arequipa
Datem del Marañón, Loreto
MAR, MAR
MAR, MAR
Lucanas, Ayacucho
Ucayali, Loreto
MAR, MAR
Tumbes, Tumbes
Tumbes, Tumbes
Talara, Piura
MAR, MAR
MAR, MAR
MAR, MAR
Jorge Basadre, Tacna
San Martín, San Martín
Coronel Portillo, Ucayali
El Collao, Puno
Chucuito, Puno
Alto Amazonas, Loreto
Requena, Loreto
Lampa, Puno
MAR, MAR
Coronel Portillo, Ucayali
Tacna, Tacna
Huari, Ancash
MAR, MAR
Coronel Portillo, Ucayali
MAR, MAR
Caylloma, Arequipa
Ica, Ica
MAR, MAR
MAR, MAR
MAR, MAR
Jorge Basadre, Tacna
MAR, MAR
Huanta, Ayacucho
MAR, MAR
MAR, MAR
MAR, MAR
MAR, MAR
MAR, MAR
MAR, MAR
Nasca, Ica
MAR, MAR
